windows_min_IronWolf VR,windows_min_IronWolf VR
операционная система,windows 7
процессор,"cpu: intel i5-4590, amd fx 8350 equivalent"
оперативная память,8 gb
видео карта,"nvidia geforce gtx 970, amd radeon r9 290 equivalent"
directx,version 11
сеть,широкополосное подключение
,
windows_min_Haydee 2,windows_min_Haydee 2,windows_req_Haydee 2,windows_req_Haydee 2
directx,version 10,directx,version 11
звуковая карта,directx compatible soundcard or onboard chipset,звуковая карта,directx compatible soundcard or onboard chipset
дополнительно,"supports xinput-compatible and dualshock4 controllers. when using a dualshock4 controller, please turn off any steam controller emulation.",дополнительно,"supports xinput-compatible and dualshock4 controllers. when using a dualshock4 controller, please turn off any steam controller emulation."
,,,
windows_min_LOVE,windows_min_LOVE,windows_req_LOVE,windows_req_LOVE,macos_min_LOVE,macos_min_LOVE,macos_req_LOVE,macos_req_LOVE,linux_min_LOVE,linux_min_LOVE,linux_req_LOVE,linux_req_LOVE
операционная система,windows xp,операционная система,windows xp,операционная система,catalina,операционная система,catalina,операционная система,ubuntu 2019,операционная система,ubuntu 2020
оперативная память,1 gb,оперативная память,2 gb,процессор,—,процессор,—,процессор,intel celeron,процессор,intel i3
видео карта,"directx 9, 128mb",видео карта,"directx 10, 256mb",оперативная память,512 mb,оперативная память,512 mb,оперативная память,512 mb,оперативная память,2 gb
directx,version 9.0,directx,version 10,диск,128 mb,диск,256 mb,диск,128 mb,диск,256 mb
диск,240 mb,диск,1 gb,,,,,,,,
,,,,,,,,,,,
windows_min_UNLOVED,windows_min_UNLOVED,windows_req_UNLOVED,windows_req_UNLOVED
операционная система,"windows 10, windows 8, windows 7 32-bit",операционная система,"windows 10, windows 8, windows 7 32-bit"
процессор,"quad-core intel or amd, 2.5 ghz or faster",процессор,"quad-core intel or amd, 3 ghz or faster"
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce 470 gtx / amd radeon 6870 hd or higher,видео карта,nvidia geforce gtx 660 / amd radeon hd 7870 or higher
directx,version 11,directx,version 11
диск,3 gb,диск,3 gb
звуковая карта,windows compatible,звуковая карта,windows compatible
,,,
windows_min_Bang-On Balls: Chronicles,windows_min_Bang-On Balls: Chronicles,windows_req_Bang-On Balls: Chronicles,windows_req_Bang-On Balls: Chronicles
операционная система,windows 10,операционная система,windows 10
процессор,amd ryzen™ 3 1200 / intel core™ i3-8100,процессор,amd ryzen™ 5 2600x / intel core™ i5-8400
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660 2gb / amd radeon™ hd 7850 2gb,видео карта,nvidia geforce gtx 1060 3gb / amd radeon™ rx 580
directx,version 11,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,3 gb,диск,3 gb
,,,
windows_min_Demigod,windows_min_Demigod,windows_req_Demigod,windows_req_Demigod
операционная система,windows 10 / 8 / 7 / vista sp1 / xp sp3,операционная система,windows 10 / 8 / 7 / vista sp1 / xp sp3
процессор,2.4 ghz,процессор,3 ghz
оперативная память,512 mb,оперативная память,1 gb
видео карта,128 mb directx 9.0c 3d video card,видео карта,256 mb directx 9.0c 3d video card
directx,dx90c,directx,dx90c
диск,8 gb hd space,диск,8 gb hd space
звуковая карта,directx 9.0c compatible,звуковая карта,directx 9.0c compatible
,,,
windows_min_Battlevoid: Harbinger,windows_min_Battlevoid: Harbinger,macos_min_Battlevoid: Harbinger,macos_min_Battlevoid: Harbinger,linux_min_Battlevoid: Harbinger,linux_min_Battlevoid: Harbinger
операционная система,windows 10/7/xp/vista,операционная система,mac os x 10.6.8,операционная система,linux operating system
процессор,1.8 ghz,процессор,intel core duo (1.8ghz ),процессор,1.8 ghz
оперативная память,1 gb,оперативная память,1 gb,оперативная память,1 gb
видео карта,128mb 3d opengl 2.0 compatible video card,видео карта,128mb 3d opengl 2.0 compatible video card,видео карта,128mb 3d opengl 2.0 compatible video card
,,,,,
windows_min_Superdimension Neptune VS Sega Hard Girls,windows_min_Superdimension Neptune VS Sega Hard Girls,windows_req_Superdimension Neptune VS Sega Hard Girls,windows_req_Superdimension Neptune VS Sega Hard Girls
операционная система,windows 7 (),операционная система,windows 10 home ()
процессор,3 ghz intel i3,процессор,intel(r) core(tm) i5-4460 cpu @ 3.20ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,directx 10.x or opengl 3.3 graphics card with 1 gb and support for v4 shaders,видео карта,nvidia geforce gtx 960 or comparable
directx,version 10,directx,—
диск,12 gb,диск,12 gb
звуковая карта,directx 10.x compatible sound card,звуковая карта,directx 10.x compatible sound card
,,,
windows_min_ReCore: Definitive Edition,windows_min_ReCore: Definitive Edition,windows_req_ReCore: Definitive Edition,windows_req_ReCore: Definitive Edition
операционная система,windows 10 version 14393.98 or higher required,операционная система,windows 10 version 14393.98 or higher required
процессор,intel core i5 3550 @ 3.3 ghz or amd fx-6300,процессор,intel core i5 4570 @ 3.2 ghz or amd fx - 8350
оперативная память,8 mb,оперативная память,16 mb
видео карта,amd radeon r7 370 or nvidia geforce gtx 660 / 570,видео карта,amd radeon r9 290x or nvidia geforce gtx 780
directx,version 11,directx,version 11
,,,
windows_min_Border Officer,windows_min_Border Officer,windows_req_Border Officer,windows_req_Border Officer
операционная система,windows 7,операционная система,windows 10
процессор,2 ghz dual core cpu,процессор,2.5 ghz dual core cpu
оперативная память,2 gb,оперативная память,4 gb
видео карта,intel hd graphics 4000,видео карта,geforce gtx 970 / radeon rx470
,,,
windows_min_Hextech Mayhem: A League of Legends Story™,windows_min_Hextech Mayhem: A League of Legends Story™,windows_req_Hextech Mayhem: A League of Legends Story™,windows_req_Hextech Mayhem: A League of Legends Story™
операционная система,windows 10,операционная система,windows 10
процессор,intel core i3-4130,процессор,amd phenom ii x4 965
оперативная память,6 gb,оперативная память,6 gb
,,,
"windows_min_Warhammer 40,000: Space Wolf","windows_min_Warhammer 40,000: Space Wolf","windows_req_Warhammer 40,000: Space Wolf","windows_req_Warhammer 40,000: Space Wolf"
операционная система,windows 7,операционная система,windows 7
процессор,2.4 ghz dual core,процессор,2.4 ghz dual core
оперативная память,2 gb,оперативная память,4 gb
видео карта,hardware accelerated graphics,видео карта,1 gb video card
directx,version 11,directx,version 11
диск,3 gb,диск,5 gb
,,,
windows_min_P.A.M.E.L.A.®,windows_min_P.A.M.E.L.A.®,windows_req_P.A.M.E.L.A.®,windows_req_P.A.M.E.L.A.®
операционная система,windows 7/8/10 ( os required),операционная система,windows 10 ( os required)
процессор,intel core i5-2300 2.8 ghz (or amd equivalent),процессор,intel core i5-4670k 3.40ghz (or amd equivalent)
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia gtx 550 ti (or amd equivalent),видео карта,nvidia gtx 970 (or amd equivalent)
directx,version 11,directx,version 12
,,,
windows_min_Judge Dredd: Dredd vs. Death,windows_min_Judge Dredd: Dredd vs. Death
операционная система,microsoft windows xp/vista
процессор,intel pentium iii or amd athlon 700mhz computer
видео карта,"32mb graphics card that supports transform and lighting (geforce 1, ati radeon 7500 )"
звуковая карта,windows compatible sound card
directx,directx 9.0
оперативная память,128 mb
,
windows_min_Mists of Aiden,windows_min_Mists of Aiden
операционная система,"64bit windows 7, windows 8, windows 10"
процессор,intel core i3-4340 / amd fx-6300
оперативная память,6 gb
видео карта,nvidia geforce 470 gtx
directx,version 11
диск,8 gb
,
windows_min_Seed of the Dead,windows_min_Seed of the Dead
операционная система,"windows 7, 8, 8.1, 10"
процессор,"quad-core intel or amd, 2.5 ghz or faster"
оперативная память,8 gb
видео карта,nvidia geforce gtx 760 or amd radeon r9 285 series card or higher
directx,version 11
диск,4 gb
,
windows_min_Earth Defense Force: Insect Armageddon,windows_min_Earth Defense Force: Insect Armageddon,windows_req_Earth Defense Force: Insect Armageddon,windows_req_Earth Defense Force: Insect Armageddon
операционная система,"windows xp sp3, windows vista sp1, windows 7",операционная система,windows 7
процессор,2.0ghz dual core cpu (any core 2 duo or amd x2 ),процессор,any quad-core intel or amd
оперативная память,"1gb (xp), 2gb (vista), 2gb (windows 7)",оперативная память,"1gb (xp), 2gb (vista), 2gb (windows 7)"
диск,6 gb space free,диск,6 gb space free
видео карта,512mb video card using shader model 3 or higher (performance equivalent to an amd radeon 4350 or nvidia geforce 7900),видео карта,1 gb video card using shader model 3 or higher (performance equivalent to an nvidia 9800 )
,,,
windows_min_Mega Man Legacy Collection 2,windows_min_Mega Man Legacy Collection 2,windows_req_Mega Man Legacy Collection 2,windows_req_Mega Man Legacy Collection 2
операционная система,windows7 64bit / 8.1 64bit / 10 64bit,операционная система,windows7 64bit / 8.1 64bit / 10 64bit
процессор,corei3-2130 (3.4ghz dual-core),процессор,core i5-4590(3.30ghz quad-core)
оперативная память,2048 mb,оперативная память,4096 mb
видео карта,geforce gtx 550ti (vram1gb),видео карта,geforce gtx 570(vram2gb)
directx,version 11,directx,version 11
диск,6 gb,диск,6 gb
,,,
windows_min_Robotex,windows_min_Robotex,windows_req_Robotex,windows_req_Robotex
операционная система,10.9,операционная система,—
процессор,core 2 duo,процессор,—
оперативная память,2 gb,оперативная память,—
видео карта,intel hd graphics 4000 1024 mb,видео карта,—
directx,version 10,directx,version 10
,,,
windows_min_West of Dead,windows_min_West of Dead,windows_req_West of Dead,windows_req_West of Dead
операционная система,windows 7,операционная система,windows 10
процессор,intel i5-4460 cpu / amd fx-8350,процессор,intel core i5-9400 / amd ryzen 5 3400g
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 1030 / radeon rx 550,видео карта,nvidia geforce gtx 1060 / radeon rx 580
диск,1 gb,диск,1 gb
,,,
windows_min_The Dishwasher: Vampire Smile,windows_min_The Dishwasher: Vampire Smile,windows_req_The Dishwasher: Vampire Smile,windows_req_The Dishwasher: Vampire Smile,macos_min_The Dishwasher: Vampire Smile,macos_min_The Dishwasher: Vampire Smile,macos_req_The Dishwasher: Vampire Smile,macos_req_The Dishwasher: Vampire Smile,linux_min_The Dishwasher: Vampire Smile,linux_min_The Dishwasher: Vampire Smile,linux_req_The Dishwasher: Vampire Smile,linux_req_The Dishwasher: Vampire Smile
операционная система,windows vista,операционная система,windows 7,операционная система,lion 10.7.5,операционная система,latest macos release,операционная система,"glibc 2.15+, 32/. s3tc support is not required.",операционная система,"glibc 2.15+, 32/"
процессор,intel core 2 duo 2.8 ghz,процессор,intel core 2 duo or amd athlon 64 x2 5600+,процессор,intel core 2 duo 2.8 ghz,процессор,intel core 2 duo,процессор,intel core 2 duo 2.8 ghz,процессор,intel core 2 duo or amd athlon 64 x2 5600+
оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb
видео карта,opengl 3.0+ support (2.1 with arb extensions acceptable),видео карта,opengl 3.2+ support,видео карта,opengl 3.0+ support (2.1 with arb extensions acceptable),видео карта,opengl 3.2+ support,видео карта,opengl 3.0+ support (2.1 with arb extensions acceptable),видео карта,opengl 3.2+ support
диск,1 gb,диск,1 gb,диск,1 gb,диск,1 gb,диск,1 gb,диск,1 gb
,,,,,,,,,,,
windows_min_Phoenotopia: Awakening,windows_min_Phoenotopia: Awakening,windows_req_Phoenotopia: Awakening,windows_req_Phoenotopia: Awakening
операционная система,mac os x,операционная система,mac os x
процессор,2 ghz dual core,процессор,2 ghz dual core
видео карта,"hardware accelerated graphics with dedicated memory, 1gb+",видео карта,"hardware accelerated graphics with dedicated memory, 1gb+"
,,,
windows_min_Panty Party,windows_min_Panty Party
операционная система,windows 7+
процессор,3.4 ghz dual core
оперативная память,4 gb
видео карта,dx9 (shader model 2.0) capabilities
диск,2 gb
,
windows_min_Oddworld: Munch's Oddysee,windows_min_Oddworld: Munch's Oddysee
операционная система,windows 7 or higher
процессор,intel core2 +
оперативная память,1gb
видео карта,nvidia geforce 6600 128mb
directx,dx9
диск,3.8 gb
,
windows_min_ZomDay,windows_min_ZomDay,windows_req_ZomDay,windows_req_ZomDay
операционная система,windows 7,операционная система,windows 10
процессор,intel core™ i7-2600k,процессор,intel core™ i7-6700k
оперативная память,16 gb,оперативная память,16 gb
видео карта,geforce gtx 1060,видео карта,geforce gtx 1080
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,5 gb,диск,5 gb
,,,
windows_min_Phoning Home,windows_min_Phoning Home,windows_req_Phoning Home,windows_req_Phoning Home
операционная система,os x 10.7,операционная система,os x mavericks
процессор,2.5 ghz,процессор,3.4 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,"shader model 3, 2 gb video memory",видео карта,nvidia geforce gtx 780 (3 gb) / amd r9 290 (4 gb)
directx,version 10,directx,version 11
,,,
windows_min_PAC-MAN 256,windows_min_PAC-MAN 256,windows_req_PAC-MAN 256,windows_req_PAC-MAN 256,macos_min_PAC-MAN 256,macos_min_PAC-MAN 256,macos_req_PAC-MAN 256,macos_req_PAC-MAN 256,linux_min_PAC-MAN 256,linux_min_PAC-MAN 256,linux_req_PAC-MAN 256,linux_req_PAC-MAN 256
операционная система,windows xp,операционная система,windows 7+,операционная система,osx 10.6+,операционная система,osx 10.6+,операционная система,ubuntu,операционная система,ubuntu
процессор,intel i3+,процессор,intel i5+,процессор,intel i3+,процессор,intel i5,процессор,intel i3+,процессор,intel i5+
оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb
видео карта,"nvidia 8800, radeon hd35xx, intel hd 4000+",видео карта,nvidia 560+,видео карта,"nvidia 8800, radeon hd35xx, intel hd 4000+",видео карта,nvidia 560+,видео карта,nvidia or ati with latest drivers,видео карта,nvidia or ati with latest drivers
directx,version 9.0c,directx,version 9.0c,диск,100 mb,диск,100 mb,диск,100 mb,диск,100 mb
,,,,,,,,,,,
windows_min_Stellar 2D,windows_min_Stellar 2D
операционная система,microsoft windows xp / vista / 7 (32-bit/)
процессор,1.6 ghz
оперативная память,128 mb
видео карта,directx 9.0 compatible
,
windows_min_Wild Terra Online,windows_min_Wild Terra Online,windows_req_Wild Terra Online,windows_req_Wild Terra Online
операционная система,osx 10.9 or higher,операционная система,osx 10.9 or higher
процессор,2.2 ghz or higher,процессор,intel core i5 or higher
оперативная память,4 gb,оперативная память,8 gb
видео карта,"512 mb, hardware accelerated graphics, webgl support",видео карта,"1 gb, hardware accelerated graphics, webgl support"
directx,version 9.0,directx,version 9.0
диск,600 mb,диск,600 mb
,,,
