windows_min_Cart Racer,windows_min_Cart Racer
операционная система,"windows xp, windows vista, windows 7"
процессор,dual core cpu @2ghz (pentium d )
оперативная память,2 gb
видео карта,"intel hd 4000, geforce 8800, ati 1950"
directx,version 9.0
диск,1 gb
,
windows_min_Zeno Clash 2,windows_min_Zeno Clash 2,windows_req_Zeno Clash 2,windows_req_Zeno Clash 2
windows_min_Oniken: Unstoppable Edition,windows_min_Oniken: Unstoppable Edition,windows_req_Oniken: Unstoppable Edition,windows_req_Oniken: Unstoppable Edition,macos_min_Oniken: Unstoppable Edition,macos_min_Oniken: Unstoppable Edition,macos_req_Oniken: Unstoppable Edition,macos_req_Oniken: Unstoppable Edition,linux_min_Oniken: Unstoppable Edition,linux_min_Oniken: Unstoppable Edition,linux_req_Oniken: Unstoppable Edition,linux_req_Oniken: Unstoppable Edition
операционная система,windows xp,операционная система,windows 7,операционная система,os x 10.6 snow leopard,операционная система,os x 10.9 mavericks,операционная система,any recent linux os,операционная система,ubuntu 13.10
процессор,1.0 ghz,процессор,dual core,процессор,intel core duo,процессор,intel core 2 duo,процессор,2ghz dual core,процессор,3ghz dual core
оперативная память,512 mb,оперативная память,1 gb,оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb
видео карта,32mb vram integrated graphics card,видео карта,64mb vram dedicated graphics card,видео карта,32mb vram integrated graphics card,видео карта,64mb vram dedicated graphics card,видео карта,32mb vram integrated graphics card,видео карта,64mb vram dedicated graphics card
directx,version 9.0,directx,version 9.0c,диск,250 mb,диск,400 mb,диск,600 mb,диск,700 mb
,,,,,,,,,,,
windows_min_Darkout,windows_min_Darkout
операционная система,windows xp sp3 / vista / windows 7
процессор,intel pentium core 2 duo 1.3 ghz
оперативная память,2 gb
видео карта,opengl graphics card that can display at least 1024x768 res (nvidia 8000 series )
диск,3 gb
звуковая карта,any
,
windows_min_Flinthook,windows_min_Flinthook,macos_min_Flinthook,macos_min_Flinthook,linux_min_Flinthook,linux_min_Flinthook
операционная система,vista,операционная система,"lion 10.7.5, latest macos release strongly recommended",операционная система,"glibc 2.15+, 32/"
процессор,intel core™ duo or faster,процессор,intel core™ duo or faster,процессор,intel core™ duo or faster
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,opengl 3.0 compliant video card,видео карта,opengl 3.0+ support (2.1 with arb extensions acceptable),видео карта,opengl 3.0+ support (2.1 with arb extensions acceptable)
,,,,,
windows_min_WASTED,windows_min_WASTED
операционная система,windows xp/vista/7/8
процессор,2 ghz dual core
оперативная память,2 gb
видео карта,dedicated graphics card with 512mb vram and shader model 3.0
directx,version 9.0c
диск,1 gb
,
windows_min_Sprint Vector,windows_min_Sprint Vector,windows_req_Sprint Vector,windows_req_Sprint Vector
операционная система,windows 10,операционная система,windows 10
процессор,intel i5-4590,процессор,intel i7-4770
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 970 |; amd r9 290x,видео карта,nvidia geforce gtx 980 ti |; amd radeon r9 fury x
directx,version 11,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_The Slater,windows_min_The Slater
операционная система,windows 7
процессор,intel core i5
оперативная память,8 gb
видео карта,geforce 750 ti
directx,version 11
,
windows_min_Fairy Bloom Freesia,windows_min_Fairy Bloom Freesia,windows_req_Fairy Bloom Freesia,windows_req_Fairy Bloom Freesia
операционная система,windows xp,операционная система,windows vista / 7
процессор,pentium4 3.0ghz,процессор,pentium4 3.0ghz
оперативная память,512 mb,оперативная память,1 gb
видео карта,vga compatible with directx9 and shader model 2.0,видео карта,vga compatible with directx9 and shader model 2.0
directx,9.0,directx,9.0
диск,250 mb hd space,диск,250 mb hd space
,,,
windows_min_STORM AREA 51: AYY LMAO EDITION,windows_min_STORM AREA 51: AYY LMAO EDITION
операционная система,"windows 7, windows 8, windows 10"
процессор,intel cpu core i5-2500k 3.3ghz / amd cpu phenom ii x4 940
оперативная память,4 gb
,
windows_min_PAYDAY 2: The Butcher's Western Pack,windows_min_PAYDAY 2: The Butcher's Western Pack,windows_req_PAYDAY 2: The Butcher's Western Pack,windows_req_PAYDAY 2: The Butcher's Western Pack
операционная система,windows xp sp3,операционная система,windows xp sp3/vista/windows 7
процессор,2 ghz intel dual core,процессор,2.3 ghz intel quad core
оперативная память,2 gb,оперативная память,3 gb
видео карта,nvidia geforce 8800 / ati radeon hd 2600 (256mb minimum),видео карта,nvidia geforce gtx460 / ati radeon hd 5850 (512mb minimum)
directx,9.0c,directx,9.0c
диск,13 gb hd space,диск,13 gb hd space
,,,
windows_min_Rogue Warrior,windows_min_Rogue Warrior,windows_req_Rogue Warrior,windows_req_Rogue Warrior
операционная система,windows xp/vista,операционная система,windows xp/vista
процессор,3.4 ghz intel pentium 4,процессор,intel core 2 duo e6400
оперативная память,1 gb (xp)/ 2 gb (vista),оперативная память,2 gb
,,,
windows_min_Defend Your Life: TD,windows_min_Defend Your Life: TD,windows_req_Defend Your Life: TD,windows_req_Defend Your Life: TD
операционная система,windows xp service pack 3,операционная система,windows xp service pack 3
процессор,dual core cpu,процессор,dual core cpu
оперативная память,1 gb,оперативная память,2 gb
видео карта,opengl 3.0 compliant with 512mb of video.,видео карта,opengl 3.0 compliant with 1.0gb of video.
,,,
windows_min_Ring Runner: Flight of the Sages,windows_min_Ring Runner: Flight of the Sages
операционная система,"xp, vista, 7, 8 (32 or )"
процессор,2 ghz
оперативная память,1 gb
видео карта,xna hi def profile compatible gpu
directx,version 9.0
,
windows_min_Spark the Electric Jester,windows_min_Spark the Electric Jester,windows_req_Spark the Electric Jester,windows_req_Spark the Electric Jester
операционная система,snow leopard 10.6.3,операционная система,—
процессор,2.0 ghz,процессор,—
оперативная память,400 mb,оперативная память,—
directx,version 9.0c,directx,—
,,,
windows_min_BOMJMAN,windows_min_BOMJMAN,windows_req_BOMJMAN,windows_req_BOMJMAN,macos_min_BOMJMAN,macos_min_BOMJMAN,macos_req_BOMJMAN,macos_req_BOMJMAN,linux_min_BOMJMAN,linux_min_BOMJMAN,linux_req_BOMJMAN,linux_req_BOMJMAN
операционная система,windows 7 or 10,операционная система,windows 10,операционная система,macos 10.14,операционная система,—,операционная система,ubuntu,операционная система,—
процессор,intel core i3-3470 / amd a8-7600,процессор,intel core i3-3470 / amd a8-7600,процессор,intel core i3,процессор,—,процессор,intel core i3-8100/ amd a8-7600,процессор,—
оперативная память,6 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,—,оперативная память,4 gb,оперативная память,—
видео карта,geforce gtx 650,видео карта,geforce gtx 660 / amd radeon r9 270x,видео карта,geforce gtx 460 / amd radeon r7 265,видео карта,—,видео карта,geforce gtx 460 / amd radeon r7 265,видео карта,—
directx,version 11,directx,version 11,диск,8 gb,диск,—,диск,8 gb,диск,—
,,,,,,,,,,,
windows_min_Prey: Typhon Hunter,windows_min_Prey: Typhon Hunter,windows_req_Prey: Typhon Hunter,windows_req_Prey: Typhon Hunter
операционная система,windows 7/8.1/10 (),операционная система,windows 7/8.1/10 ()
процессор,intel core i5-3570 or amd fx 8350,процессор,intel core i7-6700k or amd ryzen 5 1600x
оперативная память,8 gb,оперативная память,8 gb
,,,
windows_min_SINNER: Sacrifice for Redemption,windows_min_SINNER: Sacrifice for Redemption,windows_req_SINNER: Sacrifice for Redemption,windows_req_SINNER: Sacrifice for Redemption
операционная система,windows 7/8/10 (),операционная система,windows 7/8/10 ()
процессор,intel i5-2300 2.8 ghz,процессор,intel core i7 4790 3.6 ghz
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia gtx 550 ti 2gb,видео карта,nvidia gtx 760 3gb
directx,version 11,directx,version 11
диск,12 gb,диск,12 gb
,,,
windows_min_Contagion VR: Outbreak,windows_min_Contagion VR: Outbreak,windows_req_Contagion VR: Outbreak,windows_req_Contagion VR: Outbreak
операционная система,windows 7,операционная система,windows 10
процессор,"intel™ core™ i5-4590 or amd fx™ 8350, equivalent",процессор,"intel™ core™ i7-7700k or amd ryzen 7 1800x, equivalent"
оперативная память,8 gb,оперативная память,16 gb
видео карта,"nvidia geforce™ gtx 970 or amd radeon™ rx 290x, equivalent .",видео карта,"nvidia geforce™ gtx 1070 or amd radeon™ rx vega 56, equivalent ."
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Journey Of Life,windows_min_Journey Of Life,windows_req_Journey Of Life,windows_req_Journey Of Life
операционная система,windows 7,операционная система,windows 10 64bit
процессор,intel core i5 2500k / amd fx 4100,процессор,intel core i7-4690k / amd ryzen 5 1600
оперативная память,4 gb,оперативная память,8 gb
видео карта,gtx 960 / amd r9 fury,видео карта,gtx 1050 / amd rx 470
directx,version 11,directx,version 11
,,,
windows_min_The Mercury Man,windows_min_The Mercury Man,windows_req_The Mercury Man,windows_req_The Mercury Man
операционная система,"window 7,10",операционная система,"window 7,10"
процессор,intel i3 1.8ghz,процессор,intel i3 1.8ghz
оперативная память,2048 mb,оперативная память,2048 mb
видео карта,geforce gt 720m,видео карта,geforce gt 720m
,,,
windows_min_VoidExpanse,windows_min_VoidExpanse,windows_req_VoidExpanse,windows_req_VoidExpanse,macos_min_VoidExpanse,macos_min_VoidExpanse,macos_req_VoidExpanse,macos_req_VoidExpanse,linux_min_VoidExpanse,linux_min_VoidExpanse,linux_req_VoidExpanse,linux_req_VoidExpanse
операционная система,windows xp/vista/7/8/10,операционная система,windows xp/vista/7/8/10,операционная система,mac os x 10.9+,операционная система,mac os x 10.9+,операционная система,ubuntu and fedora 32/,операционная система,ubuntu and fedora 32/
процессор,dual core 1.8ghz,процессор,dual core 2.2ghz,процессор,dual core 1.8ghz,процессор,dual core 2.2ghz,процессор,dual core 1.8ghz,процессор,dual core 2.2ghz
оперативная память,2 gb,оперативная память,3 gb,оперативная память,2 gb,оперативная память,3 gb,оперативная память,2 gb,оперативная память,3 gb
видео карта,"512 mb, nvidia geforce 8800 / ati radeon hd 2600 xt",видео карта,1 gb nvidia 460 / amd radeon 5870,видео карта,"512 mb, nvidia geforce 8800 / ati radeon hd 2600 xt",видео карта,1 gb nvidia 460 / amd radeon 5870,видео карта,"vendor proprietary drivers, 512 mb, nvidia geforce 8800 / ati radeon hd 2600 xt",видео карта,"vendor proprietary drivers, 1 gb nvidia 460 / amd radeon 5870"
directx,version 9.0c,directx,version 9.0c,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение
сеть,широкополосное подключение,сеть,широкополосное подключение,диск,500 mb,диск,750 mb,диск,500 mb,диск,750 mb
,,,,,,,,,,,
windows_min_Survivor Squad,windows_min_Survivor Squad,macos_min_Survivor Squad,macos_min_Survivor Squad,linux_min_Survivor Squad,linux_min_Survivor Squad
операционная система,windows xp,операционная система,mac os x 10.5,операционная система,"ubuntu linux, version 10.10"
процессор,1.7ghz code 2 duo,процессор,1.7ghz code 2 duo,процессор,1.7ghz code 2 duo
оперативная память,512 mb,оперативная память,512 mb,оперативная память,512 mb
видео карта,radeon 3850,видео карта,radeon 3850,видео карта,radeon 3850
диск,900 mb,диск,900 mb,диск,900 mb
,,,,,
windows_min_Earn to Die 2,windows_min_Earn to Die 2,windows_req_Earn to Die 2,windows_req_Earn to Die 2
операционная система,mac os x 10.7,операционная система,—
процессор,dual core 1.7ghz,процессор,—
оперативная память,2 gb,оперативная память,—
видео карта,512mb,видео карта,—
directx,version 9.0,directx,version 9.0
,,,
windows_min_The Disney Afternoon Collection,windows_min_The Disney Afternoon Collection
операционная система,windows 7 home
процессор,"intel(r) core(tm)2 cpu 6600 @ 2.40ghz (2 cpus), ~2.4ghz"
оперативная память,1024 mb
видео карта,"ati radeon hd 4800 series, nvidia geforce 8800gt"
directx,version 11
,
windows_min_Figment,windows_min_Figment,windows_req_Figment,windows_req_Figment,macos_min_Figment,macos_min_Figment,macos_req_Figment,macos_req_Figment,linux_min_Figment,linux_min_Figment,linux_req_Figment,linux_req_Figment
операционная система,windows 7/8/10,операционная система,windows 10,операционная система,sierra 10.12.5,операционная система,sierra 10.12.5,операционная система,ubuntu 16.04 (older distros may work),операционная система,ubuntu 16.04.3 lts
процессор,"intel core i5 4670t @2.3 ghz, amd fx 8370e @3.3 ghz",процессор,"intel core i5 2500 @3.3 ghz, amd fx 6120 @3.6 ghz",процессор,intel core i5 @2.7 ghz,процессор,intel core i5 @3.3 ghz,процессор,"intel core i5 4670t @2.3 ghz, amd fx 8370e @3.3 ghz",процессор,"intel core i5 2500 @3.3 ghz, amd fx 6120 @3.6 ghz"
оперативная память,8 gb,оперативная память,8 gb,оперативная память,8 gb,оперативная память,8 gb,оперативная память,8 gb,оперативная память,8 gb
видео карта,"nvidia geforce gtx 480, nvidia geforce gtx 580m, amd radeon r7-265",видео карта,"nvidia geforce gtx 650 ti, nvidia geforce gt 750m, radeon hd5850",видео карта,nvidia geforce gt 750m,видео карта,radeon r9 m290x,видео карта,"nvidia geforce gtx 480, nvidia geforce gtx 580m, amd radeon r7-265",видео карта,"nvidia geforce gtx 650 ti, nvidia geforce gt 750m, radeon hd5850"
directx,version 11,directx,—,диск,3 gb,диск,3 gb,диск,3 gb,диск,3 gb
диск,3 gb,диск,3 gb,дополнительно,screen with support for either 16:9 or 16:10 aspect ratio,дополнительно,"controller support: xbox one (requires windows 10), playstation 4, xbox 360, playstation 3, logitech f710, logitech f310 and several other controllers",дополнительно,screen with support for either 16:9 or 16:10 aspect ratio,дополнительно,"controller support: xbox one (requires windows 10), playstation 4, xbox 360, playstation 3, logitech f710, logitech f310 and several other controllers"
звуковая карта,compatible with directx 11,звуковая карта,compatible with directx 11,,,,,,,,
,,,,,,,,,,,
windows_min_SMASHING THE BATTLE,windows_min_SMASHING THE BATTLE,windows_req_SMASHING THE BATTLE,windows_req_SMASHING THE BATTLE
операционная система,windows 7,операционная система,windows 7
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gts 450,видео карта,nvidia gtx 760
,,,
