windows_min_Sumoman,windows_min_Sumoman,windows_req_Sumoman,windows_req_Sumoman,macos_min_Sumoman,macos_min_Sumoman,macos_req_Sumoman,macos_req_Sumoman,linux_min_Sumoman,linux_min_Sumoman,linux_req_Sumoman,linux_req_Sumoman
операционная система,7,операционная система,10,операционная система,"mac os x 10.11 ""el capitan"" x64 or higher",операционная система,"mac os x 10.11 ""el capitan"" x64 or higher",операционная система,"steamos, ubuntu 14.04 64bit",операционная система,"steamos, ubuntu 16.04 64bit"
процессор,intel core 2 quad,процессор,intel core i3,процессор,intel core i3,процессор,intel core i5,процессор,intel core 2 quad,процессор,intel core i3
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia gtx 260,видео карта,nvidia gtx 460,видео карта,intel hd 5000,видео карта,intel iris 540,видео карта,nvidia gtx 260,видео карта,nvidia gtx 460
directx,version 9.0c,directx,version 11,диск,2 gb,диск,2 gb,диск,2 gb,диск,2 gb
,,,,,,,,,,,
windows_min_Hidden in Plain Sight,windows_min_Hidden in Plain Sight,windows_req_Hidden in Plain Sight,windows_req_Hidden in Plain Sight,macos_min_Hidden in Plain Sight,macos_min_Hidden in Plain Sight,macos_req_Hidden in Plain Sight,macos_req_Hidden in Plain Sight,linux_min_Hidden in Plain Sight,linux_min_Hidden in Plain Sight,linux_req_Hidden in Plain Sight,linux_req_Hidden in Plain Sight
операционная система,windows xp,операционная система,windows xp,операционная система,lion 10.7.5,операционная система,latest macos release,операционная система,"glibc 2.15+, 32/. s3tc support is not required.",операционная система,glibc 2.15+
процессор,1.2ghz,процессор,1.4ghz,процессор,1.2ghz,процессор,1.4ghz,оперативная память,512 mb,оперативная память,1 gb
оперативная память,512 mb,оперативная память,1 gb,оперативная память,512 mb,оперативная память,1 gb,диск,200 mb,диск,200 mb
видео карта,graphics card that supports pixel shader 2.0 and vertex shader 2.0,видео карта,graphics card that supports pixel shader 2.0 and vertex shader 2.0,видео карта,opengl 3.0+ support (2.1 with arb extensions acceptable),видео карта,opengl 3.0+ support (2.1 with arb extensions acceptable),дополнительно,sdl_gamecontroller devices fully supported,дополнительно,sdl_gamecontroller devices fully supported
directx,version 9.0c,directx,version 9.0c,диск,200 mb,диск,200 mb,,,,
диск,200 mb,диск,200 mb,дополнительно,sdl_gamecontroller devices fully supported,дополнительно,sdl_gamecontroller devices fully supported,,,,
,,,,,,,,,,,
windows_min_V.L.A.D.i.K,windows_min_V.L.A.D.i.K,windows_req_V.L.A.D.i.K,windows_req_V.L.A.D.i.K
видео карта,ati radeon hd 2400 / nvidia 8600m
directx,version 9.0c
,
windows_min_Ghost Town Mine Ride & Shootin' Gallery,windows_min_Ghost Town Mine Ride & Shootin' Gallery,windows_req_Ghost Town Mine Ride & Shootin' Gallery,windows_req_Ghost Town Mine Ride & Shootin' Gallery
операционная система,windows 7,операционная система,windows 7
процессор,"intel i5-4590, amd fx 8350",процессор,"intel i5-4590, amd fx 8350"
видео карта,nvidia gtx 970 / amd r9 290,видео карта,nvidia gtx 970 / amd r9 290
directx,version 11,directx,version 11
,,,
windows_min_Tower 57,windows_min_Tower 57,windows_req_Tower 57,windows_req_Tower 57,macos_min_Tower 57,macos_min_Tower 57,macos_req_Tower 57,macos_req_Tower 57,linux_min_Tower 57,linux_min_Tower 57,linux_req_Tower 57,linux_req_Tower 57
операционная система,"windows 7,8 or 10",операционная система,windows 10,операционная система,10.6,операционная система,10.6,операционная система,ubuntu 14.04,операционная система,ubuntu 14.04
процессор,"intel(r) core(tm)2 duo 2.4, amd athlon(tm) x2 2.8 ghz",процессор,intel(r) core(tm) i5,процессор,"intel(r) core(tm)2 duo 2.4, amd athlon(tm) x2 2.8 ghz",процессор,intel(r) core(tm) i5,процессор,"intel(r) core(tm)2 quad 2.7 ghz, amd phenom(tm)ii x4 3 ghz",процессор,"intel(r) core(tm)2 quad 2.7 ghz, amd phenom(tm)ii x4 3 ghz"
оперативная память,2 gb,оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,"geforce gtx 260, radeon hd 5770, 1024 mb, shader model 3.0",видео карта,geforce gtx 660,видео карта,"geforce gtx 260, radeon hd 5770, 1024 mb, shader model 3.0",видео карта,geforce gtx 660,видео карта,"geforce 9600 gs, radeon hd4000, shader model 3.0, 512 mb",видео карта,"geforce 9600 gs, radeon hd4000, shader model 3.0, 512 mb"
диск,500 mb,диск,500 mb,диск,500 mb,диск,500 mb,,,,
,,,,,,,,,,,
windows_min_Beatbuddy: Tale of the Guardians,windows_min_Beatbuddy: Tale of the Guardians,macos_min_Beatbuddy: Tale of the Guardians,macos_min_Beatbuddy: Tale of the Guardians,linux_min_Beatbuddy: Tale of the Guardians,linux_min_Beatbuddy: Tale of the Guardians
операционная система,"windows xp, vista, 7, 8",операционная система,osx 10.6,операционная система,ubuntu 12.04 lts
процессор,1.8 ghz (dual core),процессор,1.8 ghz (dual core),процессор,1.8 ghz (dual core)
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,"256 mb nvidia or ati graphics card, intel hd graphics 3000",видео карта,"256 mb nvidia or ati graphics card, intel hd graphics 3000",видео карта,"256 mb nvidia or ati graphics card, intel hd graphics 3000"
directx,version 9.0c,диск,1 gb,диск,1 gb
,,,,,
windows_min_Demonicon,windows_min_Demonicon,windows_req_Demonicon,windows_req_Demonicon
операционная система,"windows xp sp3 (32bit), windows vista / 7 / 8",операционная система,windows vista / 7 / 8 (64bit)
процессор,2 ghz dual-core,процессор,3 ghz quad-core
оперативная память,2 gb,оперативная память,4 gb
видео карта,"dedicated directx 9.0c compatible graphics card with 512mb vram and shader model 4.0 support. ati/amd radeon 3800 series and higher, nvidia geforce 9600gt and higher",видео карта,dedicated directx 9.0c compatible graphics card with 1gb vram and shader model 5.0 support
directx,version 9.0c,directx,—
диск,10 gb,диск,—
звуковая карта,directx compatible,звуковая карта,—
,,,
windows_min_Evil Genome ,windows_min_Evil Genome ,windows_req_Evil Genome ,windows_req_Evil Genome 
операционная система,win 7 64bit / win 8 / win 10,операционная система,win 7 64bit / win 8 / win 10
процессор,intel(r)core i3 2.7ghz,процессор,intel(r)core i5 3.2ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 460,видео карта,nvidia geforce gtx 960 discrete graphics
directx,version 11,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,10 gb,диск,10 gb
звуковая карта,all models are applicable,звуковая карта,all models are applicable
,,,
windows_min_Into the Stars,windows_min_Into the Stars,windows_req_Into the Stars,windows_req_Into the Stars
операционная система,mac os x 10.9.2,операционная система,mac os x 10.9.4 or higher
процессор,1.7ghz dual core,процессор,quad-core intel or amd
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce 470 gtx or amd radeon 6870 hd series card or higher,видео карта,dual amd firepro d300
directx,version 11,directx,version 11
диск,3 gb,диск,3 gb
,,,
windows_min_Evil Tag,windows_min_Evil Tag,windows_req_Evil Tag,windows_req_Evil Tag
операционная система,windows 7,операционная система,windows 7
процессор,intel dual-core 2.4 ghz,процессор,quad core
оперативная память,4 gb,оперативная память,4 gb
видео карта,nvidia geforce 8800gt,видео карта,nvidia geforce gtx 560
directx,version 9.0,directx,version 9.0
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,3 gb,диск,3 gb
,,,
windows_min_Junk Jack,windows_min_Junk Jack,windows_req_Junk Jack,windows_req_Junk Jack,macos_min_Junk Jack,macos_min_Junk Jack,macos_req_Junk Jack,macos_req_Junk Jack,linux_min_Junk Jack,linux_min_Junk Jack,linux_req_Junk Jack,linux_req_Junk Jack
операционная система,windows 8,операционная система,windows 10,операционная система,mac os x snow leopard - 10.8.5,операционная система,mac os x el capitan - 10.11,операционная система,ubuntu x64,операционная система,ubuntu x64
процессор,intel x86 cpu,процессор,intel x64 cpu,процессор,intel x64 cpu,процессор,intel x64 cpu,процессор,intel x64 cpu,процессор,intel x64 cpu
оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb
видео карта,opengl 2.1+ gpu (256mb vram),видео карта,opengl 3.0+ gpu (1gb vram),видео карта,opengl 2.1+ gpu (256mb vram),видео карта,opengl 3.0+ gpu (1gb vram),видео карта,opengl 2.1+ gpu (256mb vram),видео карта,opengl 3.0+ gpu (1gb vram)
диск,300 mb,диск,500 mb,диск,300 mb,диск,500 mb,,,,
,,,,,,,,,,,
windows_min_Black Ice,windows_min_Black Ice,macos_min_Black Ice,macos_min_Black Ice,linux_min_Black Ice,linux_min_Black Ice
операционная система,"windows 7, 8, 10 - only",операционная система,mac osx 10.11,операционная система,"ubuntu 12.04 or steamos, only"
процессор,i3+,процессор,i3+,процессор,i3+
оперативная память,6 gb,оперативная память,6 gb,оперативная память,6 gb
видео карта,nvidia 9 series,видео карта,nvidia 9 series,видео карта,nvidia 9 series
диск,1 gb,диск,1 gb,диск,1 gb
,,,,,
windows_min_HordeZ,windows_min_HordeZ
операционная система,"7, 8, 8.1, 10"
процессор,intel core i5 4590 or amd fx 8350
оперативная память,4 gb
видео карта,geforce gtx 970 or amd radeon r9 290
сеть,широкополосное подключение
,
windows_min_Survarium,windows_min_Survarium,windows_req_Survarium,windows_req_Survarium
операционная система,"windows 7 (service pack 1), windows 8.1 ()",операционная система,windows 10 ()
процессор,intel core i3 / amd phenom ii x4 / amd fx / amd ryzen,процессор,intel core i5 / amd phenom ii x4 / amd fx / amd ryzen
оперативная память,4 gb,оперативная память,6 gb
видео карта,nvidia geforce: gtx 650 / gt 1030 or radeon r7 250x,видео карта,nvidia geforce: gtx 960 / gtx 1050ti or amd radeon: r9 280x / rx 460
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,16 gb,диск,16 gb
,,,
windows_min_Deployment,windows_min_Deployment,windows_req_Deployment,windows_req_Deployment
операционная система,windows 10,операционная система,windows 10
процессор,core i3,процессор,core i5
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 560,видео карта,nvidia gtx 970
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Super Mega Neo Pug,windows_min_Super Mega Neo Pug
операционная система,windows xp/windows vista/windows 7/8/10
процессор,1.6 ghz
оперативная память,200 mb
видео карта,directx 9.0 compatible
сеть,широкополосное подключение
диск,150 mb
,
windows_min_DESYNC,windows_min_DESYNC,windows_req_DESYNC,windows_req_DESYNC
операционная система,windows 7,операционная система,windows 7
процессор,intel pentium g3250 (2 * 3200) amd phenom ii x4 965 (4 * 3400),процессор,intel core i3-4160 (2 * 3600) amd fx-6350 (6 * 3900)
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce 9800 gt (1024 mb) |; intel hd graphics 4600 (shared memory) | amd radeon hd 5770 (1024 mb),видео карта,nvidia geforce gtx 460 (1024 mb) amd radeon r7 260x (2048 mb)
,,,
windows_min_Hakoniwa Explorer Plus,windows_min_Hakoniwa Explorer Plus
операционная система,microsoft windows 7/8/10
процессор,intel core i5
оперативная память,1 gb
видео карта,intel hd graphics family
directx,version 12
диск,250 mb
,
windows_min_The Masterplan,windows_min_The Masterplan,macos_min_The Masterplan,macos_min_The Masterplan,linux_min_The Masterplan,linux_min_The Masterplan
операционная система,windows vista,операционная система,10.6.8 snow leopard,операционная система,ubuntu 12.04
процессор,intel core™ 2 duo or faster,процессор,intel core™ 2 duo or faster,процессор,intel core™ 2 duo or faster
оперативная память,4 gb,оперативная память,4 gb,видео карта,256 mb
видео карта,256 mb opengl 2.0 compatible video card,видео карта,256 mb,диск,300 mb
диск,300 mb,диск,300 mb,звуковая карта,yes
звуковая карта,yes,звуковая карта,yes,дополнительно,recommend a two-button mouse + mouse wheel
,,,,,
windows_min_Epido,windows_min_Epido,windows_req_Epido,windows_req_Epido
операционная система,windows 7,операционная система,windows 10
процессор,i3-2100,процессор,i5-2500
оперативная память,2 gb,оперативная память,4 gb
видео карта,built-in graphic (hd2000),видео карта,gtx 650
,,,
windows_min_Slash It Ultimate,windows_min_Slash It Ultimate,macos_min_Slash It Ultimate,macos_min_Slash It Ultimate,linux_min_Slash It Ultimate,linux_min_Slash It Ultimate
операционная система,"windows xp,7,8,10",операционная система,mac osx 10.8+,операционная система,ubuntu 12
процессор,2 ghz,процессор,2 ghz,процессор,2 ghz
оперативная память,256 mb,оперативная память,256 mb,оперативная память,256 mb
видео карта,256 mb,видео карта,256 mb,видео карта,256 mb
directx,version 9.0c,диск,700 mb,диск,700 mb
,,,,,
windows_min_Delta Force,windows_min_Delta Force
операционная система,microsoft windows 2000/xp
процессор,intel pentium 266mhz
оперативная память,32 mb
диск,285 mb
видео карта,svga with 16 mb
,
windows_min_Apex Aim Trainer,windows_min_Apex Aim Trainer,windows_req_Apex Aim Trainer,windows_req_Apex Aim Trainer
операционная система,windows 7 / 10 64bit,операционная система,windows 7 / 10 64bit
процессор,intel core i3,процессор,intel core i5
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 950,видео карта,nvidia geforce gtx 970
directx,version 11,directx,version 11
диск,8 gb,диск,10 gb
,,,
windows_min_OlliOlli2: Welcome to Olliwood,windows_min_OlliOlli2: Welcome to Olliwood,macos_min_OlliOlli2: Welcome to Olliwood,macos_min_OlliOlli2: Welcome to Olliwood,linux_min_OlliOlli2: Welcome to Olliwood,linux_min_OlliOlli2: Welcome to Olliwood
операционная система,windows 7,операционная система,osx 10.9 mavericks,операционная система,ubuntu 14.04
процессор,dual core 2.4 ghz or higher,процессор,dual core 2.4 ghz or higher,процессор,dual core 2.4 ghz or higher
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,nvidia geforce 9500 gt or equal amd video card / intel hd4000,видео карта,"nvidia geforce 9500 gt or equal amd video card / intel hd4000, opengl 3.3 or higher",видео карта,"nvidia geforce 9500 gt or equal amd video card / intel hd4000, opengl 3.3 or higher"
directx,version 10,диск,1 gb,диск,1 gb
диск,1 gb,дополнительно,microsoft xbox 360 or sony ps4 dualshock strongly recommended.,дополнительно,microsoft xbox 360 or sony ps4 dualshock strongly recommended.
,,,,,
windows_min_Life is Strange: Before the Storm DLC - Deluxe Upgrade,windows_min_Life is Strange: Before the Storm DLC - Deluxe Upgrade,windows_req_Life is Strange: Before the Storm DLC - Deluxe Upgrade,windows_req_Life is Strange: Before the Storm DLC - Deluxe Upgrade,macos_min_Life is Strange: Before the Storm DLC - Deluxe Upgrade,macos_min_Life is Strange: Before the Storm DLC - Deluxe Upgrade,macos_req_Life is Strange: Before the Storm DLC - Deluxe Upgrade,macos_req_Life is Strange: Before the Storm DLC - Deluxe Upgrade,linux_min_Life is Strange: Before the Storm DLC - Deluxe Upgrade,linux_min_Life is Strange: Before the Storm DLC - Deluxe Upgrade,linux_req_Life is Strange: Before the Storm DLC - Deluxe Upgrade,linux_req_Life is Strange: Before the Storm DLC - Deluxe Upgrade
операционная система,windows 7 or above ( operating system required),операционная система,windows 10,операционная система,macos 10.13.5,операционная система,—,операционная система,ubuntu 18.04,операционная система,ubuntu 18.04
процессор,intel core i3-2100 (3.1ghz) or amd phenom x4 945 (3.0ghz),процессор,intel core i3-6100 (3.7ghz) or amd athlon x4 845 (3.5ghz),процессор,2.0ghz intel core i5,процессор,—,процессор,intel core i3-4130t @ 2.90ghz,процессор,intel core i5-6500 @ 3.2ghz
оперативная память,3 gb,оперативная память,6 gb,оперативная память,8 gb,оперативная память,—,оперативная память,4 gb,оперативная память,8 gb
видео карта,amd radeon r7 250 or nvidia geforce gtx 650,видео карта,amd radeon rx 460 or nvidia geforce 1050,видео карта,"1gb nvidia 650m, 2gb amd radeon r9 m290, intel iris 5100 (see notes for more details).",видео карта,—,видео карта,"2gb nvidia gtx 680, 2gb amd r9 27",видео карта,"4gb nvidia gtx 970, 4gb amd rx 470"
directx,version 11,directx,version 11,диск,28 gb,диск,—,диск,28 gb,диск,28 gb
диск,14 gb,диск,14 gb,дополнительно,"the game is supported on the following macs. to check your mac model and when it was released, select about this mac from the apple menu on your menu bar. * all mac minis since ...  late 2014 * all 13” macbook pros released since 2013 * all 15"" macbook pros released since mid 2012 with a 1gb graphics card (1) * all 21.5” imacs released since late 2013 * all 27” imacs released since late 2013 (2) * all 27"" imac pro's * all mac pros released since late 2013 1. mid 2015 models with an amd radeon r9 m370x are not supported. 2. late 2012 models with nvidia 675 or nvidia 680 graphics are also supported. ——— the following macs are capable of running the game but do not consistently meet the standards required for official support. * all mac mini's since late 2012 * all macbooks released since early 2015 * all macbook airs released since mid 2012 * all 13"" macbook pros released since mid 2012 * all 21.5” imacs released since early 2013 ——— please note for your computer to meet the minimum requirements it must match all elements of the listed system requirements. for more detailed specifications check the feral website.  еще",дополнительно,—,дополнительно,"* amd gpus require mesa driver 18.1.6, nvidia cards require driver 396.54 . * intel gpus are not supported at time of release.",дополнительно,"* amd gpus require mesa driver 18.1.6, nvidia cards require driver 396.54 . * intel gpus are not supported at time of release."
,,,,,,,,,,,
windows_min_Heart&Slash,windows_min_Heart&Slash,macos_min_Heart&Slash,macos_min_Heart&Slash,linux_min_Heart&Slash,linux_min_Heart&Slash
операционная система,windows 7,операционная система,osx 10.4,операционная система,linux 32-s
процессор,intel i5,процессор,intel i5,процессор,intel i5
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,nvidia 550,видео карта,nvidia 550,видео карта,nvidia 550 .
directx,version 10,диск,1 gb,диск,1 gb
,,,,,
windows_min_Aquanox Deep Descent,windows_min_Aquanox Deep Descent,windows_req_Aquanox Deep Descent,windows_req_Aquanox Deep Descent
операционная система,windows 7 or higher (),операционная система,windows 10
процессор,3.3 ghz or higher: amd a8-6600k or intel core i7-950,процессор,amd/intel 3.5 ghz (amd ryzen 5 1500x or intel core i5-6600k )
оперативная память,8 gb,оперативная память,8 gb
видео карта,"direct3d 11, shader model 5.1 capable video card (geforce gtx 560 2gb or radeon hd 7870 4gb)",видео карта,amd/nvidia with at least 8 gb vram (radeon rx 580 8gb or nvidia gtx 1060 6gb)
directx,version 11,directx,version 12
диск,30 gb,диск,30 gb
,,,
windows_min_Watchmen: The End is Nigh,windows_min_Watchmen: The End is Nigh
операционная система,"microsoft windows xp sp1+ (32bit & 64bit), vista sp1+ (32bit & 64bit)"
процессор,1.8ghz 64bit (dual core)
оперативная память,1 gb
диск,2gb available hdd space
видео карта,"geforce 6 series, ati radeon™ x800 series, shader 3.0 and 256mb video memory required"
звуковая карта,directx compatible sound card
интернет,широкополосное подключение
,
windows_min_DarkMaus,windows_min_DarkMaus
операционная система,windows vista
оперативная память,4 gb
видео карта,"shader model 3. if you have a laptop, be sure to choose your dedicated gpu!"
directx,version 9.0c
,
windows_min_THE KING OF FIGHTERS XV,windows_min_THE KING OF FIGHTERS XV,windows_req_THE KING OF FIGHTERS XV,windows_req_THE KING OF FIGHTERS XV
операционная система,windows 7,операционная система,windows 10
процессор,intel core i5,процессор,intel core i7
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 770 2gb / amd radeon r9 280 3gb,видео карта,nvidia geforce gtx 1060 6gb / amd radeon rx 480 4gb
directx,version 11,directx,version 11
,,,
windows_min_Enlightenment,windows_min_Enlightenment,windows_req_Enlightenment,windows_req_Enlightenment
операционная система,"windows 7, 8, 8.1, 10 ( only)",операционная система,"windows 7, 8, 8.1, 10 ( only)"
процессор,intel core i3 or amd fx-8120,процессор,intel i5 quad core or higher / amd phenom ii x6 or higher
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gtx 450 1gb or amd hd 6850 1gb,видео карта,nvidia geforce gtx 650 series or higher / amd hd 6870 or higher
directx,version 11,directx,version 11
диск,3 gb,диск,3 gb
,,,
windows_min_Roof Rage,windows_min_Roof Rage
операционная система,microsoft windows vista / 7 / 8 / 10
процессор,1.2ghz
оперативная память,512 mb
видео карта,integrated graphic card with at least 32mb of video memory
,
windows_min_Deus Ex: Mankind Divided - System Rift,windows_min_Deus Ex: Mankind Divided - System Rift,windows_req_Deus Ex: Mankind Divided - System Rift,windows_req_Deus Ex: Mankind Divided - System Rift,macos_min_Deus Ex: Mankind Divided - System Rift,macos_min_Deus Ex: Mankind Divided - System Rift,macos_req_Deus Ex: Mankind Divided - System Rift,macos_req_Deus Ex: Mankind Divided - System Rift,linux_min_Deus Ex: Mankind Divided - System Rift,linux_min_Deus Ex: Mankind Divided - System Rift,linux_req_Deus Ex: Mankind Divided - System Rift,linux_req_Deus Ex: Mankind Divided - System Rift
операционная система,windows 7.1sp1 or above ( operating system required),операционная система,windows 10,операционная система,macos 10.13.1,операционная система,—,операционная система,ubuntu 16.10 or steam os 2.0 ( required),операционная система,"ubuntu 16.10, steamos 2.0"
процессор,intel core i3-2100 or amd equivalent,процессор,intel core i7-3770k or amd fx 8350 wraith,процессор,3.0ghz intel core i5,процессор,—,процессор,"intel core i3-4130, amd fx8350",процессор,intel core i7-3770k
оперативная память,8 gb,оперативная память,8 gb,оперативная память,8 gb,оперативная память,—,оперативная память,8 gb,оперативная память,16 gb
видео карта,amd radeon hd 7870 (2gb) or nvidia geforce gtx 660 (2gb),видео карта,amd radeon rx 480 - 1920 x 1080 or nvidia gtx 970 - 1920 x 1080,видео карта,2gb amd r9 m290,видео карта,—,видео карта,2gb nvidia 680 (driver version: 367.57) amd gpus are not supported,видео карта,6gb nvidia 1060 (driver version: 367.57)
диск,45 gb,диск,55 gb,диск,67 gb,диск,—,диск,67 gb,диск,70 gb
,,,,,,,,,,,
windows_min_Shift Happens,windows_min_Shift Happens,windows_req_Shift Happens,windows_req_Shift Happens
операционная система,windows vista,операционная система,windows 7
процессор,amd phenom ii x4 n930 2ghz,процессор,intel i5-4460 3.2ghz / amd fx-6350 3.9ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,mobility radeon hd 5650,видео карта,geforce gtx 750 / radeon r7 260x
directx,version 9.0c,directx,version 9.0c
диск,9 gb,диск,9 gb
,,,
windows_min_Shadow Legend VR,windows_min_Shadow Legend VR,windows_req_Shadow Legend VR,windows_req_Shadow Legend VR
операционная система,windows 8,операционная система,windows 10
процессор,intel i5-4590,процессор,intel core i7 6700k
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 970 / amd,видео карта,nvidia gtx 1070 / amd
directx,version 11,directx,version 12
диск,18 gb,диск,18 gb
,,,
