windows_min_Vicious Circle,windows_min_Vicious Circle,windows_req_Vicious Circle,windows_req_Vicious Circle
процессор,1.5mhz
оперативная память,512 mb
видео карта,512mb card or higher
directx,version 9.0
диск,230 mb
,
windows_min_Assassin's Creed® Syndicate - The Dreadful Crimes,windows_min_Assassin's Creed® Syndicate - The Dreadful Crimes,windows_req_Assassin's Creed® Syndicate - The Dreadful Crimes,windows_req_Assassin's Creed® Syndicate - The Dreadful Crimes
операционная система,windows 7 sp1 or windows 8.1 or windows 10 (64bit versions),операционная система,windows 7 sp1 or windows 8.1 or windows 10 (64bit versions)
процессор,intel core i5 2400s @ 2.5 ghz / amd fx 6350 @ 3.9 ghz,процессор,intel core i7 3770 @ 3.5 ghz / amd fx 8350 @ 4.0 ghz
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660 / amd radeon r9 270 (2gb vram with shader model 5.0),видео карта,nvidia geforce gtx 760 (4gb) or the newer gtx 970 (4gb) / amd radeon r9 280x (3gb of vram)
,,,
windows_min_Wolfenstein: Cyberpilot,windows_min_Wolfenstein: Cyberpilot,windows_req_Wolfenstein: Cyberpilot,windows_req_Wolfenstein: Cyberpilot
операционная система,windows 7/8.1/10 ( versions),операционная система,windows 7/8.1/10 ( versions)
процессор,intel core i5-4590 or amd fx 8350,процессор,intel core i7-6700k or amd ryzen 5 1600x
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 1070 / amd rx vega 56,видео карта,nvidia geforce gtx 1080 / amd rx vega 64
,,,
"windows_min_GO AWAY, THERE'S KUMIS OVER THERE!","windows_min_GO AWAY, THERE'S KUMIS OVER THERE!","windows_req_GO AWAY, THERE'S KUMIS OVER THERE!","windows_req_GO AWAY, THERE'S KUMIS OVER THERE!"
операционная система,windows xp/vista/7/8/8.1/10,операционная система,windows 7/vista/8/8.1/10
процессор,1.1 ghz cpu,процессор,1.1 ghz cpu
оперативная память,256 mb,оперативная память,256 mb
видео карта,any videocard,видео карта,256mb videocard
,,,
windows_min_Red Forest,windows_min_Red Forest,windows_req_Red Forest,windows_req_Red Forest
операционная система,"windows xp, 7, 8, 10",операционная система,"windows xp, 7, 8, 10"
процессор,dual core 2.4 ghz,процессор,dual core 2.4 ghz
оперативная память,1 gb,оперативная память,2 gb
видео карта,geforce gtx 550,видео карта,geforce gtx 960
,,,
windows_min_Onikira - Demon Killer,windows_min_Onikira - Demon Killer,windows_req_Onikira - Demon Killer,windows_req_Onikira - Demon Killer
операционная система,windows vista sp2/ windows 7,операционная система,windows vista sp2/ windows 7/ windows 8
процессор,intel core 2 duo 1.8ghz or amd athlon x2 64 2ghz,процессор,1.8 ghz quad core
оперативная память,2 gb,оперативная память,4 gb
видео карта,"256 mb ati hd3650, 256 mb nvidia 8800 gt, or intel hd 3000 integrated graphics",видео карта,"amd hd5000 series, nvidia gt400 series, intel ivybridge integrated graphics"
directx,version 9.0c,directx,version 11
диск,2 gb,диск,4 gb
,,,
windows_min_Plain Sight,windows_min_Plain Sight
операционная система,windows xp
процессор,2 ghz
оперативная память,1 gb
видео карта,shader model 2 supported graphics card
directx,directx 9
диск,300 mb of free space
,
windows_min_BANNERMEN,windows_min_BANNERMEN,windows_req_BANNERMEN,windows_req_BANNERMEN
операционная система,"windows 7, windows 8.1, windows 10",операционная система,windows 10
процессор,intel core i3-4340 / amd fx-6300,процессор,intel core i5-8400
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660 2gb / amd radeon hd 7850 2gb,видео карта,nvidia geforce gtx 1060 3gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Fe,windows_min_Fe
операционная система,"windows 7, 8.1 or windows 10"
процессор,intel core i3-2100t @ 2.5ghz / amd phenom ii x3 b73
оперативная память,4 gb
видео карта,"nvidia geforce gtx 460, or amd radeon 5870 ; 1gb"
directx,version 11
,
windows_min_Marvel's Guardians of the Galaxy,windows_min_Marvel's Guardians of the Galaxy,windows_req_Marvel's Guardians of the Galaxy,windows_req_Marvel's Guardians of the Galaxy
операционная система,windows 10 build 1803,операционная система,windows 10 build 1803
процессор,amd ryzen™ 5 1400 / intel core™ i5-4460,процессор,amd ryzen™ 5 1600 / intel core™ i7-4790
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 1060 / amd radeon™ rx 570,видео карта,nvidia geforce gtx 1660 super / amd radeon™ rx 590
directx,version 12,directx,version 12
,,,
windows_min_Light Fairytale Episode 1,windows_min_Light Fairytale Episode 1
процессор,intel core 2 duo
оперативная память,2 gb
видео карта,nvidia geforce gtx 650
,
windows_min_Blacklight: Retribution,windows_min_Blacklight: Retribution,windows_req_Blacklight: Retribution,windows_req_Blacklight: Retribution
операционная система,windows 8.1 / 10 (32-bit and ),операционная система,windows 10 ()
процессор,dual-core cpu,процессор,quad-core cpu
оперативная память,2 gb,оперативная память,4 gb
видео карта,256mb dx9 gpu (geforce 8xxx or radeon hd2xxx),видео карта,1gb+ dx11 gpu
directx,9.0c,directx,9.0c
диск,8 gb hd space,диск,8 gb hd space
звуковая карта,directx 9.0c compatible sound card,звуковая карта,directx 9.0c compatible sound card
,,,
windows_min_Rage in Peace,windows_min_Rage in Peace
операционная система,mac os x 10.8+
процессор,dual core 1.6 ghz
оперативная память,2 gb
видео карта,512 mb display memory
directx,version 9.0c
диск,2 gb
,
windows_min_Purgatory,windows_min_Purgatory,macos_min_Purgatory,macos_min_Purgatory,linux_min_Purgatory,linux_min_Purgatory
операционная система,windows 7,операционная система,mac os x 10.8+,операционная система,ubuntu/mint/debian/fedora etc
процессор,pentium dual core 2ghz,процессор,2ghz dual-core,процессор,2ghz dual-core
оперативная память,1 gb,оперативная память,1 gb,оперативная память,1 gb
видео карта,512mb dedicated graphics,видео карта,512mb dedicated graphics,видео карта,512mb dedicated graphics
диск,100 mb,диск,100 mb,диск,100 mb
,,,,,
windows_min_Tiki Man,windows_min_Tiki Man,macos_min_Tiki Man,macos_min_Tiki Man,linux_min_Tiki Man,linux_min_Tiki Man
операционная система,"windows xp, windows vista, windows 7, windows 8",операционная система,10.6.8,операционная система,ubuntu 12
оперативная память,512 mb,процессор,1.0 ghz,процессор,1.0 ghz
видео карта,128 mb vram,оперативная память,512 mb,оперативная память,512 mb
directx,version 9.0,видео карта,128 mb vram,видео карта,128 mb vram
,,,,,
windows_min_Bombshell,windows_min_Bombshell,windows_req_Bombshell,windows_req_Bombshell
операционная система,"win 7 sp1, win 8.1, win 10 ( operating system required)",операционная система,"win 7 sp1, win 8.1, win 10 ( operating system required)"
процессор,"intel core i5-750, 2.67 ghz | amd phenom ii x4 965, 3.4 ghz",процессор,"intel core i7-3770, 3.4 ghz | amd fx-8350, 4.0 ghz"
оперативная память,4 gb,оперативная память,6 gb
видео карта,nvidia geforce gtx 550 (2 gb memory minimum) |; amd radeon hd 7870 (2 gb memory minimum),видео карта,nvidia geforce gtx 760 - 3 gb memory recommended |; amd radeon hd 7950 - 3 gb memory recommended
directx,version 9.0c,directx,version 11
,,,
windows_min_Judgment,windows_min_Judgment,windows_req_Judgment,windows_req_Judgment
операционная система,windows 10,операционная система,windows 10
процессор,"intel core i5-3470, 3.2 ghz or amd ryzen 3 1200, 3.1 ghz",процессор,"intel core i7-4790, 3.6 ghz or amd ryzen 5 1600, 3.2 ghz"
оперативная память,8 gb,оперативная память,8 gb
видео карта,"nvidia geforce gtx 960, 2 gb or amd radeon rx 460, 2 gb",видео карта,"nvidia geforce rtx 2060, 6 gb or amd radeon rx vega 56, 8 gb"
диск,40 gb,диск,60 gb
,,,
windows_min_Orcs Must Die! Unchained,windows_min_Orcs Must Die! Unchained
операционная система,windows xp sp3
процессор,intel core2duo 2.66ghz
оперативная память,4 gb
видео карта,intel hd graphics 4000
directx,version 9.0c
,
windows_min_Shadow Blade: Reload,windows_min_Shadow Blade: Reload
операционная система,os 10.6+
процессор,2.8 ghz intel core 2 duo
оперативная память,1 gb
видео карта,dedicated video card recommended
,
windows_min_Romero's Aftermath,windows_min_Romero's Aftermath,windows_req_Romero's Aftermath,windows_req_Romero's Aftermath
операционная система,"windows 7, windows 8.1",операционная система,"windows 7, windows 8.1"
процессор,i5 2.7ghz,процессор,i7 2.4ghz
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce 660,видео карта,nvidia geforce 970
directx,version 9.0c,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Freaky Awesome,windows_min_Freaky Awesome,windows_req_Freaky Awesome,windows_req_Freaky Awesome
операционная система,10.8,операционная система,10.9
процессор,core 2 duo,процессор,2.4 ghz dual core 2.0 (or higher)
оперативная память,2 gb,оперативная память,4 gb
видео карта,discreet video card,видео карта,discreet video card
диск,300 mb,диск,300 mb
,,,
windows_min_Walls,windows_min_Walls,windows_req_Walls,windows_req_Walls
операционная система,os x lion 10.7,операционная система,os x el capitan 10.11
процессор,2.8ghz dual-core intel core i5,процессор,2.9ghz dual-core intel core i7
оперативная память,4 gb,оперативная память,8 gb
видео карта,intel iris pro graphics,видео карта,radeon pro 460 4096 mb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Bloody Rally Show,windows_min_Bloody Rally Show,macos_min_Bloody Rally Show,macos_min_Bloody Rally Show,linux_min_Bloody Rally Show,linux_min_Bloody Rally Show
операционная система,windows 7 (sp1+) and windows 10,операционная система,high sierra 10.13+,операционная система,"ubuntu 20.04, ubuntu 18.04, and centos 7"
процессор,"x86, x64 architecture with sse2 instruction set support, arm, arm64",процессор,x64 architecture with sse2,процессор,x64 architecture with sse2 instruction set support
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,"dx10, dx11, dx12 capable gpus",видео карта,metal capable intel and amd gpus,видео карта,"opengl 3.2+ or vulkan-capable, nvidia and amd gpus"
диск,220 mb,диск,220 mb,диск,220 mb
,,,,,
windows_min_The Legend of Dark Witch,windows_min_The Legend of Dark Witch,windows_req_The Legend of Dark Witch,windows_req_The Legend of Dark Witch
операционная система,windowsxp,операционная система,windows7
оперативная память,2 gb,оперативная память,4 gb
,,,
windows_min_AWAY: The Survival Series,windows_min_AWAY: The Survival Series,windows_req_AWAY: The Survival Series,windows_req_AWAY: The Survival Series
операционная система,windows 10,операционная система,windows 10
процессор,intel core™ i5-2500k / amd fx-6300,процессор,intel core™ i7-4770k / amd ryzen 5 1500x
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 960 2gb / amd radeon r9 380 2gb,видео карта,geforce gtx 2060 6gb / amd radeon r5600xt 4gb
directx,version 11,directx,version 12
,,,
windows_min_SUPER BENBO QUEST: TURBO DELUXE,windows_min_SUPER BENBO QUEST: TURBO DELUXE,windows_req_SUPER BENBO QUEST: TURBO DELUXE,windows_req_SUPER BENBO QUEST: TURBO DELUXE
операционная система,windows xp,операционная система,quantum computer
процессор,2ghz,процессор,quantum computer
оперативная память,256 mb,оперативная память,999 gb
видео карта,any,видео карта,yeah this game has pretty good grpahics
диск,50 mb,диск,—
звуковая карта,any,звуковая карта,marshall 1992lem8 100w lemmy kilmister signature series
,,,
windows_min_Avoid - Sensory Overload,windows_min_Avoid - Sensory Overload,windows_req_Avoid - Sensory Overload,windows_req_Avoid - Sensory Overload
операционная система,windows xp sp3,операционная система,windows 7
процессор,2 ghz,процессор,core 2 duo 2ghz
оперативная память,2 gb,оперативная память,3 gb
видео карта,directx 9.0c compatible card,видео карта,ati or nvidia card w/ 1024 mb
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_They Are Hundreds,windows_min_They Are Hundreds,windows_req_They Are Hundreds,windows_req_They Are Hundreds
операционная система,windows 7,операционная система,windows 8.1+
процессор,i3-2100,процессор,i5-3470
оперативная память,4 gb,оперативная память,8 gb
видео карта,"r7 260x, gtx 750ti",видео карта,"rx 560 4gb, gtx 770 2gb"
directx,version 11,directx,version 11
,,,
windows_min_The spy who shot me™,windows_min_The spy who shot me™,windows_req_The spy who shot me™,windows_req_The spy who shot me™
операционная система,"windows xp, vista, 7, 8, 10",операционная система,"windows xp, vista, 7, 8, 10"
процессор,2.2ghz,процессор,2.2ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,64mb internal,видео карта,128mb graphics card
directx,version 11,directx,version 11
,,,
windows_min_ALPAGES : THE FIVE BOOKS,windows_min_ALPAGES : THE FIVE BOOKS,macos_min_ALPAGES : THE FIVE BOOKS,macos_min_ALPAGES : THE FIVE BOOKS,linux_min_ALPAGES : THE FIVE BOOKS,linux_min_ALPAGES : THE FIVE BOOKS
операционная система,windows 7 +,операционная система,any,операционная система,linux
процессор,dual core,процессор,dual core,процессор,dual core
оперативная память,4000 mb,оперативная память,1500 mb,видео карта,any fx card
видео карта,any fx card,видео карта,any fx,диск,1500 mb
directx,version 11,звуковая карта,any,звуковая карта,any
диск,1500 mb,,,,
,,,,,
windows_min_DRAGON BALL XENOVERSE 2 - Extra DLC Pack 2,windows_min_DRAGON BALL XENOVERSE 2 - Extra DLC Pack 2,windows_req_DRAGON BALL XENOVERSE 2 - Extra DLC Pack 2,windows_req_DRAGON BALL XENOVERSE 2 - Extra DLC Pack 2
операционная система,windows 7 and higher ( only),операционная система,windows 10 ( only)
процессор,"amd phenom ii x2 550, 3.1ghz | intel pentium g4400, 3.30ghz",процессор,"intel core i5-3470, 3.20ghz | amd fx-6300, 3.5ghz"
оперативная память,2 gb,оперативная память,—
видео карта,geforce gt 650 |; radeon hd 6570,видео карта,geforce gt 660 |; radeon hd 7770
,,,
windows_min_Girl Amazon Survival,windows_min_Girl Amazon Survival,windows_req_Girl Amazon Survival,windows_req_Girl Amazon Survival
операционная система,osx 10.8 mountain lion,операционная система,osx 10.9 mavericks
процессор,sse2 instruction set support.,процессор,sse2 instruction set support.
оперативная память,2 gb,оперативная память,4 gb
видео карта,shader model 3.0,видео карта,shader model 3.0
directx,version 9.0,directx,version 9.0
диск,2 gb,диск,2 gb
,,,
windows_min_Stay Alight,windows_min_Stay Alight,windows_req_Stay Alight,windows_req_Stay Alight
операционная система,windows xp service pack 3,операционная система,windows xp service pack 3
процессор,dual core cpu,процессор,dual core cpu
оперативная память,1 gb,оперативная память,1 gb
видео карта,opengl 3.0 compliant with 512mb of video.,видео карта,opengl 3.0 compliant with 1.0gb of video.
directx,version 9.0,directx,version 9.0
,,,
windows_min_Pixel Cup Soccer 17,windows_min_Pixel Cup Soccer 17,macos_min_Pixel Cup Soccer 17,macos_min_Pixel Cup Soccer 17,linux_min_Pixel Cup Soccer 17,linux_min_Pixel Cup Soccer 17
операционная система,windows xp,операционная система,10.5,операционная система,"ubuntu 12.04 lts (or similar, debian-based distro) *"
процессор,1.2 ghz,процессор,intel 1.2 ghz,процессор,1.2 ghz
оперативная память,512 mb,оперативная память,512 mb,оперативная память,512 mb
видео карта,directx compatible video card with at least 128 vram,видео карта,opengl 2.0 compatible video card with at least 128 vram,видео карта,opengl 2.0 compatible video card *
directx,version 9.0c,диск,100 mb,диск,100 mb
,,,,,
windows_min_Apex Construct,windows_min_Apex Construct
операционная система,windows 7 sp1
процессор,intel core i5 4590
оперативная память,8 gb
видео карта,geforce gtx 970 or amd radeon r9 290
directx,version 11
диск,5 gb
,
windows_min_Disney's Treasure Planet: Battle of Procyon,windows_min_Disney's Treasure Planet: Battle of Procyon
операционная система,windows 98/me/xp
процессор,pentium ii 450mhz
оперативная память,128 mb
видео карта,16mb directx compatible 3d accelerated video card
диск,750 mb
,
windows_min_Just Get Through,windows_min_Just Get Through,windows_req_Just Get Through,windows_req_Just Get Through
операционная система,ubuntu,операционная система,ubuntu
процессор,2ghz+,процессор,3ghz
оперативная память,1024 mb,оперативная память,3072 mb
видео карта,256mb,видео карта,1gb
диск,90 mb,диск,200 mb
,,,
windows_min_Claybook,windows_min_Claybook
операционная система,windows 7/8/10
процессор,"dual-core intel or amd, 2.0 ghz or faster"
оперативная память,4 gb
видео карта,nvidia gtx 750 or amd r7 260
directx,version 11
диск,3 gb
,
windows_min_Rune Teller,windows_min_Rune Teller,windows_req_Rune Teller,windows_req_Rune Teller,macos_min_Rune Teller,macos_min_Rune Teller,macos_req_Rune Teller,macos_req_Rune Teller,linux_min_Rune Teller,linux_min_Rune Teller,linux_req_Rune Teller,linux_req_Rune Teller
операционная система,windows 7/8/10/11 (),операционная система,windows 7/8/10/11 (),операционная система,macos big sur (11.0),операционная система,macos big sur (11.0),операционная система,any up to date version,операционная система,any up to date version
процессор,intel core i5-2500,процессор,intel core i5-7600,процессор,apple m1,процессор,apple m1 pro,процессор,intel core i5-2500,процессор,intel core i5-7600
оперативная память,8 gb,оперативная память,8 gb,оперативная память,8 gb,оперативная память,16 gb,оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia gtx 760,видео карта,nvidia gtx 1060,диск,4 gb,диск,4 gb,видео карта,nvidia gtx 760,видео карта,nvidia gtx 1060
,,,,,,,,,,,
windows_min_Who Is This Man,windows_min_Who Is This Man,windows_req_Who Is This Man,windows_req_Who Is This Man
операционная система,windows vista,операционная система,windows 10
процессор,2 ghz dual core cpu,процессор,2.5 ghz dual core cpu
оперативная память,2 gb,оперативная память,4 gb
видео карта,intel hd graphics 4000,видео карта,geforce gtx 970 / radeon rx470
,,,
windows_min_Totally Reliable Delivery Service,windows_min_Totally Reliable Delivery Service,windows_req_Totally Reliable Delivery Service,windows_req_Totally Reliable Delivery Service,macos_min_Totally Reliable Delivery Service,macos_min_Totally Reliable Delivery Service,macos_req_Totally Reliable Delivery Service,macos_req_Totally Reliable Delivery Service,linux_min_Totally Reliable Delivery Service,linux_min_Totally Reliable Delivery Service,linux_req_Totally Reliable Delivery Service,linux_req_Totally Reliable Delivery Service
операционная система,windows 7,операционная система,windows 7,операционная система,os x 10.6,операционная система,os x 11,операционная система,"ubuntu 10.10, steamos",операционная система,"ubuntu 10.10, steamos"
процессор,intel core i5 2500k,процессор,"intel core i7 3770k, amd ryzen 5 1600",процессор,quad core intel core i7,процессор,quad core intel core i7,процессор,intel core i5 2500k,процессор,"intel core i7 3770k, amd ryzen 5 1600"
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb
видео карта,"gtx 560, radeon hd 5870",видео карта,"gtx 1060, radeon rx 480",видео карта,"intell hd graphics 630, geforce gt 650m,",видео карта,"radeon pro 560x, radeon rx 5500m,",видео карта,"gtx 560, radeon hd 5870",видео карта,"gtx 1060, radeon rx 480"
directx,version 11,directx,version 11,диск,3 gb,диск,3 gb,диск,512 mb,диск,512 mb
диск,3 gb,диск,3 gb,сеть,—,сеть,широкополосное подключение,,,,
дополнительно,don't throw your hardware on the porch,дополнительно,—,,,,,,,,
,,,,,,,,,,,
windows_min_Zombie Vikings,windows_min_Zombie Vikings
операционная система,mac os 10.7.4 or higher
процессор,2 ghz intel core 2 duo
оперативная память,2 gb
видео карта,nvidia geforce 320m
directx,version 9.0
диск,10 gb
,
